org_id remap_id
http://example.org/instance/llm/topic 0
http://example.org/instance/llm/tone 1
http://example.org/instance/llm/setting 2
http://example.org/instance/producers 3
http://example.org/instance/type 4
http://www.wikidata.org/prop/direct/P495 5
http://example.org/instance/demographics 6
http://example.org/instance/Adaptation 7
http://www.wikidata.org/prop/direct/P725 8
http://example.org/instance/licensors 9
http://www.wikidata.org/prop/direct/P136 10
http://www.wikidata.org/prop/direct/P86 11
http://www.wikidata.org/prop/direct/P674 12
http://www.wikidata.org/prop/direct/P272 13
http://www.wikidata.org/prop/direct/P750 14
http://example.org/instance/studios 15
http://www.wikidata.org/prop/direct/P58 16
http://example.org/instance/year 17
http://example.org/instance/rating 18
http://example.org/instance/genres 19
http://example.org/instance/themes 20
http://example.org/instance/Other 21
http://www.wikidata.org/prop/direct/P407 22
http://www.wikidata.org/prop/direct/P3301 23
http://www.wikidata.org/prop/direct/P31 24
http://example.org/instance/Alternative_version 25
http://example.org/instance/season 26
http://www.wikidata.org/prop/direct/P364 27
http://example.org/instance/status 28
http://www.wikidata.org/prop/direct/P437 29
http://example.org/instance/title 30
http://www.wikidata.org/prop/direct/P527 31
http://example.org/instance/Side_story 32
http://www.wikidata.org/prop/direct/P57 33
http://www.wikidata.org/prop/direct/P449 34
http://example.org/instance/source 35
http://www.wikidata.org/prop/direct/P144 36
http://www.wikidata.org/prop/direct/P8670 37
http://example.org/instance/Parent_story 38
http://example.org/instance/Spin-off 39
http://example.org/instance/Summary 40
http://example.org/instance/Alternative_setting 41
http://example.org/instance/Sequel 42
http://example.org/instance/Prequel 43
http://example.org/instance/Character 44
http://example.org/instance/Full_story 45
http://www.w3.org/2000/01/rdf-schema#subPropertyOf 46
http://www.w3.org/1999/02/22-rdf-syntax-ns#type 47
http://www.w3.org/2000/01/rdf-schema#range 48
http://www.w3.org/2000/01/rdf-schema#subClassOf 49
http://proton.semanticweb.org/protonsys#transitiveOver 50
http://www.w3.org/2002/07/owl#inverseOf 51
http://www.w3.org/2000/01/rdf-schema#domain 52
